acc	Symbol	logFC_NtoIS	logFC_IStoC	logFC_CtoI	logFC_ItoA	adjPVal_NtoIS	adjPVal_IStoC	adjPVal_CtoI	adjPVal_ItoA
Q3SY52	ZIK1	0.140493	0.0604888	-0.0883847	0.057971	0.035122	0.19098	0.049469	0.155405
Q8N264	ARHGAP24	0.388793	-0.0976034	0.0485698	-0.0791785	0.035122	0.480524	0.753	0.529701
P61019	RAB2	-0.114356	0.0951573	0.00965949	-0.0360545	0.0405121	0.0171938	0.835826	0.296052
Q6Y1H2	PTPLB	-0.103235	-0.0552001	-0.0779123	0.112822	0.0405121	0.115811	0.0278986	0.00135181
Q9C0C6	KIAA1737	0.136728	0.0904449	-0.032475	-0.0062011	0.0405121	0.0369876	0.438946	0.884382
O00203	AP3B1	0.127929	0.145643	-0.0845577	0.0728305	0.0451591	0.00192446	0.0210821	0.0277143
P09917	ALOX5	0.169922	0.0144761	0.0130149	-0.0841611	0.0451591	0.804041	0.821571	0.0608916
Q9P2G3	KLHL14	0.253512	0.0352828	0.061428	-0.0980359	0.0451591	0.710633	0.476481	0.183874
Q8WXB4	ZNF606	0.106246	0.0175556	0.0537806	-0.101686	0.0459871	0.678636	0.164628	0.00487118
Q8ND30	PPFIBP2	0.173349	-0.00704301	-0.0178165	-0.040731	0.046874	0.919169	0.779148	0.424333
Q92731	ESR2	0.259279	0.0747648	-0.105515	0.0275955	0.0485388	0.450011	0.268422	0.7787
Q9UEG4	ZNF629	0.148521	-0.0485941	0.014915	-0.0495617	0.049476	0.381622	0.809355	0.277033
P21554	CNR1	0.184572	0.0466869	0.213714	-0.281209	0.0564216	0.521951	0.00278085	0.00011786
P56703	WNT3	0.489034	0.186549	-0.381124	0.228005	0.0573569	0.287688	0.0353804	0.17837
P07550	ADRB2	0.251375	0.117964	-0.0548247	-0.0415335	0.0639236	0.143261	0.50323	0.587628
Q8TEU7	RAPGEF6	-0.0886686	0.00625722	0.0396067	-0.064118	0.0649278	0.872211	0.198083	0.0230512
Q9BXB5	OSBPL10	0.205286	0.034022	0.0893701	-0.125538	0.0662439	0.639725	0.154561	0.0290109
Q86XS8	RNF130	0.144475	0.001129	-0.00190757	0.074703	0.0732989	0.9865	0.97663	0.0890248
Q8WXX7	AUTS2	0.167634	0.0427649	0.106999	-0.130217	0.0732989	0.470621	0.0458705	0.00945691
Q96T68	SETDB2	-0.124868	0.0117073	0.11838	-0.173909	0.0732989	0.830679	0.0101995	0.000268244
Q14332	FZD2	0.191079	-0.0215406	0.0291838	0.0369466	0.0786165	0.810127	0.737833	0.613138
Q9Y4F1	FARP1	0.181667	0.0730932	0.0583297	-0.026526	0.0904932	0.250346	0.337095	0.646573
Q9Y467	SALL2	0.139276	0.013956	0.0387677	-0.110228	0.106188	0.844843	0.538682	0.0318996
Q9Y5Q0	FADS3	0.141139	-0.0536515	0.156179	-0.170585	0.108361	0.373502	0.0122301	0.00332204
P35221	CTNNA1	0.0846162	0.0243655	-0.00635057	0.021878	0.13524	0.473582	0.875063	0.462775
Q9BXX0	EMILIN2	0.157379	0.0306543	0.00349373	0.0415109	0.13524	0.642521	0.964471	0.447933
P17252	PRKCA	-0.139951	-0.0832036	0.0315292	-0.00372503	0.13887	0.117706	0.556921	0.945803
Q13191	CBLB	0.112305	-0.0399956	0.106954	-0.111765	0.13887	0.379655	0.0144222	0.00572397
P10415	BCL2	0.160789	0.0864071	-0.00624148	-0.0698495	0.144278	0.159574	0.936475	0.193002
Q9BUZ4	TRAF4	0.146823	-0.231522	0.128835	-0.0802229	0.145598	0.00133096	0.0229334	0.122539
Q8IVM0	CCDC50	0.134833	0.0752881	0.0907662	-0.0614452	0.147473	0.148837	0.056998	0.147074
Q9P0L1	ZNF167	0.103458	0.101892	-0.06601	0.00732584	0.152345	0.0386765	0.161405	0.882557
O75038	PLCH2	0.272915	0.116764	0.112492	-0.223117	0.159937	0.254413	0.21846	0.0108316
P17900	GM2A	0.157699	0.0770276	-0.113288	0.205995	0.165309	0.229636	0.0696586	0.00107146
Q5T6S3	PHF19	-0.146194	-0.119475	0.0693906	-0.026826	0.174426	0.0673365	0.281379	0.671787
P61952	GNG11	0.303264	0.00117642	0.188779	-0.0269559	0.195224	0.995693	0.124786	0.824808
Q8N5B7	LASS5	0.0765439	-0.11645	0.0247622	-0.00899134	0.195507	0.00363015	0.495579	0.797921
P42126	DCI	0.139048	0.0164689	0.0160691	0.02869	0.196274	0.823018	0.825481	0.627735
Q9ULU4	ZMYND8	0.0864857	-0.0113385	0.0593629	-0.0702878	0.196274	0.792484	0.0986442	0.031771
Q7Z6A9	BTLA	-0.127953	-0.0273	-0.0536529	0.0458355	0.207309	0.659616	0.323683	0.339854
Q3ZCT1	ZFP260	0.0912942	0.0906205	-0.0968415	0.034446	0.215094	0.0287535	0.0145185	0.33847
Q5T5U3	ARHGAP21	0.085197	-0.00310163	0.127734	-0.159085	0.232342	0.95162	0.00201546	0.000129157
Q9H4L5	OSBPL3	0.113398	-0.0125337	0.11255	-0.145617	0.243453	0.857057	0.0560953	0.00750722
Q9GZY6	LAT2	-0.130414	0.00183149	-0.106572	0.158382	0.248745	0.982941	0.0908711	0.00755509
Q96MT3	PRICKLE1	0.0963615	0.114635	-0.0957567	0.114781	0.256599	0.0137421	0.0214364	0.00378939
Q9HCE3	ZNF532	0.111035	0.0331383	0.0700845	-0.126539	0.256599	0.535795	0.143578	0.00621467
Q9Y6P5	SESN1	-0.0962742	8.10E-05	0.0352492	-0.0788661	0.257261	0.999292	0.453876	0.0512186
Q99683	MAP3K5	-0.0953657	-0.050339	0.176647	-0.142832	0.26371	0.284509	0.000790421	0.00126322
P05771	PRKCB1	0.0657994	0.0530139	0.00571516	-0.0453688	0.269031	0.0770113	0.872127	0.0762085
P29966	MARCKS	0.0988231	0.104586	-0.00325797	-0.0526419	0.269031	0.0232661	0.952063	0.154844
Q2M385	MPEG1	0.10953	0.0739906	-0.0800916	0.136349	0.269031	0.215078	0.165984	0.0110993
Q9UDY8	MALT1	-0.0898881	-0.076101	0.0966506	-0.116744	0.269031	0.0869611	0.0256932	0.00451669
Q13571	LAPTM5	-0.0815134	0.00562373	0.0282342	-0.107446	0.271049	0.913677	0.495579	0.00540342
Q6ZN54	FLJ20186	-0.171547	-0.389833	-0.0548519	0.00717439	0.27381	0.00138582	0.632108	0.948483
Q96L08	SUSD3	-0.133283	-0.0153502	-0.0762104	0.0847483	0.274836	0.848515	0.258691	0.158009
O94916	NFAT5	0.102882	-0.11296	-0.153995	0.237275	0.286459	0.0323807	0.00154899	1.40E-05
Q9C035	TRIM5	0.10693	0.0650669	-0.150586	0.178671	0.286459	0.283253	0.00970227	0.00128585
Q9Y483	MTF2	-0.0928913	-0.0619678	0.0983	-0.111645	0.286459	0.173979	0.0284656	0.0074004
Q13239	SLA	0.156603	-0.0570454	0.200643	-0.281895	0.302817	0.479116	0.0089031	0.000356309
Q9H6X5	FLJ21742	0.0895789	0.0242435	0.146754	-0.178876	0.302817	0.653668	0.00620969	0.000541199
Q9Y617	PSAT1	-0.135082	0.0176277	-0.129809	0.120719	0.302817	0.82409	0.0325125	0.0243047
Q9UL42	PNMA2	0.213603	0.134716	-0.113551	0.162182	0.304294	0.278418	0.362642	0.132671
O60256	PRPSAP2	-0.112424	-0.0395394	0.0204227	-0.110833	0.304351	0.529763	0.766569	0.0356283
Q9BYU1	PBX4	-0.14173	-0.117911	0.0362133	-0.0101634	0.308125	0.0846957	0.596873	0.880421
Q6K0P9	PYHIN1	0.127363	0.100154	-0.0659326	0.000408297	0.313907	0.115886	0.292071	0.994994
Q9Y657	SPIN	0.102539	0.07928	-0.186405	0.149729	0.313907	0.171737	0.00193604	0.00319275
Q16828	DUSP6	-0.119213	-0.00466874	0.241065	-0.240408	0.314044	0.950668	0.000775449	0.000250819
P78563	ADARB1	-0.1324	-0.208624	0.0696423	-0.0130714	0.32612	0.00624242	0.285916	0.852279
P78563	ADARB1	-0.128714	-0.244353	0.112442	-0.097463	0.333274	0.00520963	0.139403	0.154618
P13682	ZNF35	0.0571305	0.0730049	-0.116317	0.104116	0.341922	0.0221243	0.000804591	0.000685014
Q9NUP7	CCDC76	-0.0860602	0.0898763	0.123573	-0.213632	0.341922	0.0524581	0.00652975	3.90E-05
P31994	FCGR2B	0.0916442	0.0507371	0.111651	-0.135075	0.346109	0.370258	0.0518521	0.0104234
Q6STE5	SMARCD3	-0.0744387	-0.0538219	-0.0172331	0.0527423	0.348308	0.130809	0.630997	0.0761878
P33076	CIITA	-0.135128	-0.142916	0.0613524	0.00454726	0.350704	0.0419271	0.350654	0.950728
Q15633	TARBP2	0.085523	0.0436461	-0.177484	0.165606	0.350704	0.349524	0.000672738	0.000364171
Q9H3E2	SNX25	0.0882914	0.0320678	0.0875325	-0.107257	0.359666	0.560161	0.0871395	0.0217397
Q9UKF7	PITPNC1	-0.1133	-0.077181	0.0336515	-0.0980395	0.363849	0.234584	0.633129	0.0848064
Q6ZN04	RKHD3	0.0932151	0.141076	-0.0964424	0.0440006	0.364173	0.0294401	0.121589	0.438798
P18405	SRD5A1	0.0659174	0.0850245	-0.0842673	0.0330076	0.370577	0.0321009	0.0248474	0.330337
Q17RB8	LONRF1	0.0753794	0.0627986	0.0121639	-0.0247358	0.370577	0.119629	0.789858	0.50068
P55273	CDKN2D	-0.0912296	-0.0980579	0.159059	-0.118431	0.374014	0.0639684	0.00374139	0.0108401
Q96GY0	C8orf70	0.0954101	0.125535	-0.128491	0.0854839	0.381181	0.0265903	0.0165523	0.0712885
Q96QK8	C4orf34	0.0895355	0.0915087	-0.0589632	0.0193089	0.381181	0.0478726	0.170729	0.658405
Q9Y5T4	DNAJC15	0.0822327	0.0890075	-0.0735836	-0.0254154	0.381181	0.0467243	0.080945	0.540993
O60879	DIAPH2	-0.0838323	-0.0301771	0.174951	-0.106215	0.386908	0.543865	0.0009496	0.0112329
Q8TF68	ZNF384	0.0706756	-0.122367	0.0927678	-0.0691464	0.386908	0.00626176	0.0184588	0.046751
Q15417	CNN3	0.0844085	0.0576598	0.10703	-0.122304	0.404998	0.209668	0.014231	0.00319275
P24394	IL4R	-0.135534	-0.230648	0.0942987	-0.0873115	0.413058	0.0140598	0.284286	0.263816
Q5VUA4	ZNF318	-0.0633671	-0.043381	0.0848785	-0.131426	0.415103	0.24562	0.0198589	0.000541199
Q8IUQ4	SIAH1	0.0613481	0.078977	-0.0498476	0.0380181	0.430621	0.0268739	0.125163	0.197632
O75324	SNN	0.0855753	-0.0141672	0.163481	-0.161059	0.431803	0.817384	0.00379174	0.00181656
Q5T8P6	C13orf10	-0.0825299	0.00982822	0.149601	-0.197324	0.436527	0.864425	0.00350904	0.000131086
Q9BWM5	ZNF416	0.0650566	0.0739902	-0.0505033	0.0307762	0.436527	0.06356	0.191371	0.389871
Q3T906	GNPTAB	0.127927	0.141193	-0.137593	0.078469	0.438455	0.04847	0.0438758	0.208184
P48382	RFX5	-0.0536264	-0.0404799	-0.0407155	0.0597427	0.440704	0.217953	0.217122	0.0427071
Q8TF72	SHRM	-0.123335	-0.0681261	-0.0440377	0.0253054	0.440704	0.275999	0.442628	0.626736
O43765	SGTA	-0.0692378	-0.0753203	0.0712127	-0.0107352	0.445356	0.0519923	0.055858	0.788849
P20585	MSH3	0.0593195	0.0317835	-0.160658	0.114244	0.446554	0.367645	0.000208612	0.000956842
Q8NCA5	FAM98A	-0.0764511	-0.105877	0.122769	-0.105404	0.45057	0.0310593	0.0101325	0.0124304
Q14765	STAT4	-0.123562	-0.0633435	-0.0969011	0.0986698	0.456907	0.424195	0.218217	0.161971
Q969H0	FBXW7	-0.0535458	-0.0320717	0.0593475	-0.104997	0.456907	0.33021	0.0586448	0.00115404
P63010	AP2B1	0.0985236	-0.179876	0.148492	-0.199394	0.462665	0.00631865	0.0121044	0.000554044
Q9H2X6	HIPK2	0.119884	-0.259007	0.204774	-0.24344	0.464278	0.00310908	0.00792904	0.00103477
O15155	BET1	0.0710311	0.100997	-0.00886123	-0.0125314	0.465792	0.0284921	0.869528	0.775805
O43312	MTSS1	0.17795	0.0610942	0.108939	-0.238653	0.465792	0.582957	0.270856	0.0105136
Q9ULD9	ZNF608	0.104415	-0.0386526	0.219811	-0.273369	0.465792	0.58468	0.00272776	0.000134452
P61925	PKIA	0.111901	0.116192	-0.000121007	-0.0759038	0.473632	0.0722509	0.998497	0.169486
O60343	TBC1D4	-0.132384	-0.107944	0.053745	-0.196316	0.477216	0.206613	0.549264	0.00839129
Q00534	CDK6	-0.160683	-0.0818401	-0.00338131	-0.0114777	0.481741	0.411529	0.977366	0.903036
Q96LT9	RNPC3	-0.0549772	-0.00688633	0.150134	-0.125834	0.481741	0.857563	0.000598071	0.000929279
B4DYM8	LOC441155	0.0783895	-0.0168959	-0.186895	0.22796	0.488088	0.759398	0.000494482	1.92E-05
Q13291	SLAMF1	-0.167575	-0.228017	-0.0590395	0.079812	0.500276	0.041509	0.586655	0.389255
Q641Q3	METRNL	0.0979851	0.0970959	-0.145285	0.171511	0.507665	0.181772	0.0352257	0.00747296
O14744	PRMT5	0.0582898	0.015805	0.050065	-0.0426623	0.509636	0.693002	0.15165	0.174386
P18433	PTPRA	0.0787799	-0.0536823	-0.138401	0.174106	0.509636	0.29877	0.00354383	0.00024987
Q53H47	SETMAR	0.0824997	0.124401	-0.123052	0.103016	0.509636	0.0197915	0.0137787	0.0210985
Q7Z4H9	MGC12966	0.0669802	0.101017	-0.121922	0.093087	0.509636	0.0203569	0.00455381	0.0126384
Q86T24	ZBTB33	0.0431821	0.0703466	-0.079494	0.054376	0.509636	0.0147287	0.00450275	0.0228001
P35713	SOX18	-0.121729	-0.171241	0.159873	-0.000162786	0.511928	0.02566	0.0252875	0.998506
Q9GZX5	ZNF350	0.0703271	0.0956475	-0.0526342	0.011699	0.511928	0.0488532	0.267047	0.808728
Q9H5X1	FAM96A	-0.0594848	0.120396	-0.0666186	0.067237	0.512409	0.00530279	0.0618883	0.038243
Q9BWJ5	SF3B5	-0.0579496	0.128051	-0.0808541	0.0435312	0.51491	0.00313703	0.0232532	0.174352
Q9UBI9	HECA	-0.0706882	-0.0413214	-0.0495232	0.0539813	0.516132	0.366541	0.238036	0.146106
P30281	CCND3	-0.0647423	-0.0441194	0.049675	-0.0855118	0.518407	0.325107	0.253649	0.0305712
O75815	BCAR3	-0.113307	-0.0750921	-0.0263407	-0.0224461	0.527013	0.327115	0.758521	0.759182
Q96HY7	DHTKD1	0.0827371	0.0190694	0.122351	-0.111179	0.527013	0.777434	0.0428648	0.0418975
P17987	TCP1	-0.0736875	-0.0425316	0.175607	-0.158689	0.527269	0.393881	0.00124664	0.000927491
Q8N3C0	ASCC3	-0.070022	0.152443	-0.0501445	0.0112535	0.548625	0.00462132	0.263608	0.807354
Q86UX7	URP2	-0.0799932	-0.0493645	-0.127551	0.17894	0.558234	0.392748	0.0295791	0.00187144
P28223	HTR2A	-0.0575063	0.0150848	0.177379	-0.220297	0.558577	0.731835	0.000193914	4.89E-06
Q9HCN8	SDF2L1	-0.0709988	-0.102534	0.0230373	-0.0220848	0.558577	0.0502505	0.694651	0.664476
Q96KP1	EXOC2	0.0461896	0.0932887	-0.112089	0.0798125	0.559343	0.00759953	0.00143078	0.00609712
Q96GD3	SCMH1	-0.062117	-0.0825951	0.178294	-0.152315	0.570345	0.0634916	0.000517894	0.00053543
P37173	TGFBR2	0.0720159	0.100304	-0.0448367	-0.0123543	0.576657	0.038812	0.328095	0.794787
Q13131	PRKAA1	-0.0557501	-0.0323988	0.139471	-0.14546	0.581339	0.425852	0.00141265	0.000324257
Q16348	SLC15A2	-0.118041	-0.0729891	0.0732836	-0.142958	0.581425	0.383124	0.376321	0.0384372
P29558	RBMS1	0.0834529	0.0742029	-0.0265348	0.0590448	0.585403	0.193785	0.668206	0.229043
Q9H1Y3	OPN3	0.0976699	0.134396	-0.216963	0.254654	0.585403	0.0466246	0.00278085	0.000287242
Q9HAD4	WDR41	0.073679	0.078472	0.00847154	0.00663161	0.585403	0.116598	0.888462	0.894943
P52594	HRB	0.0625469	-0.0420716	-0.198779	0.251744	0.596942	0.359176	0.000108481	1.98E-06
Q9BPX7	C7orf25	-0.0453781	0.109539	-0.01709	-0.016482	0.598747	0.00530279	0.670686	0.631819
O75326	SEMA7A	0.0670474	-0.224105	0.124699	-0.132239	0.601515	0.000132763	0.00388029	0.0010898
Q9HBE5	IL21R	-0.083987	-0.172312	-0.0429773	0.0656072	0.606012	0.0147287	0.54182	0.269942
Q7L945	ZNF627	0.077462	0.192807	-0.170861	0.0875585	0.613591	0.00300052	0.00350799	0.0724505
Q8NC24	C5orf16	-0.063637	-0.103474	0.0100687	-0.00587788	0.614937	0.0200726	0.820253	0.880421
Q15696	U2AF1L2	-0.0624098	-0.0690439	0.0342902	-0.0679778	0.619257	0.148803	0.494436	0.109879
P00167	CYB5A	0.0911871	0.123838	-0.0761203	0.0912297	0.627564	0.0623342	0.233466	0.106304
Q9UH99	UNC84B	-0.0365019	-0.0631103	0.0638675	-0.0550722	0.627564	0.0340417	0.0235789	0.0279977
P06241	FYN	-0.0675018	-0.1413	0.0987482	-0.0591035	0.630783	0.0150063	0.0605423	0.206301
Q86YP4	GATAD2A	-0.0467683	-0.115922	0.0907418	-0.0586957	0.630783	0.00590178	0.0144222	0.0660887
0A087WZJ2	NBPF14	0.0815994	-0.264451	0.0682517	-0.0640395	0.642951	0.000278824	0.179762	0.164524
O43464	HTRA2	-0.0530325	-0.0332653	-0.0995926	0.104144	0.642951	0.428337	0.015284	0.00603792
Q02880	TOP2B	0.0462527	0.0690004	-0.00098417	-0.0311189	0.642951	0.0427314	0.980499	0.27894
Q15796	SMAD2	0.040458	0.0766635	-0.0757276	0.0448107	0.642951	0.0321009	0.0255555	0.123466
Q32M78	ZNF699	0.0483308	0.0251764	-0.153706	0.154119	0.642951	0.54288	0.000420026	9.21E-05
Q7Z4G1	COMMD6	-0.0507856	0.15359	-0.126986	0.0789138	0.642951	0.00118491	0.00170189	0.0181613
Q8N8J6	ZNF615	0.0601024	0.102997	-0.0169918	-0.0125301	0.642951	0.0258564	0.72484	0.771906
Q96CB8	PHF22	0.0404247	0.0784913	-0.0655078	0.0276092	0.642951	0.0147781	0.0244585	0.297327
Q9NXC2	GFOD1	-0.0991495	-0.20627	0.07769	-0.0439646	0.642951	0.0149428	0.330362	0.559706
Q9UIG8	SLCO3A1	-0.113545	-0.187396	0.124401	-0.0699353	0.642951	0.0266041	0.107559	0.346926
P04745	AMY1A	-0.0668432	-0.124131	0.0902195	-0.0558552	0.644411	0.0251457	0.0770628	0.227637
O94916	NFAT5	0.0830674	-0.0870201	-0.262184	0.32014	0.645829	0.172871	0.000430405	1.40E-05
Q56VL3	OCIAD2	0.0440535	0.0815069	-0.0572367	0.011642	0.645829	0.0186252	0.0634624	0.717367
P31994	FCGR2B	0.0894919	0.0848412	0.161999	-0.23181	0.649231	0.244843	0.0197006	0.000931728
Q9H5F2	C11orf1	-0.0562206	0.200856	-0.145634	0.002342	0.649231	0.000278824	0.00176633	0.95994
Q96B26	EXOSC8	-0.0599448	0.0284775	0.158076	-0.243781	0.649872	0.565718	0.00150995	1.40E-05
Q9BW61	DDA1	-0.04577	-0.0516289	-0.031729	0.0881678	0.649872	0.156113	0.401886	0.00887227
C9JI98	LOC388564	-0.0914513	-0.0325303	-0.199108	0.253932	0.654323	0.681136	0.00392009	0.000215306
Q8N141	ZNF545	0.0523656	0.0957801	-0.0761788	0.0436751	0.654323	0.0230657	0.0474394	0.209336
P47756	CAPZB	-0.0398058	-0.0976215	0.0307451	0.00663275	0.657621	0.00748703	0.35386	0.843125
P04040	CAT	0.0657989	0.117358	-0.0845568	0.0559407	0.659919	0.0239782	0.0715711	0.191637
Q9H1E3	NUCKS1	-0.0692748	-0.0969715	0.189111	-0.192343	0.661391	0.0450873	0.00128523	0.00039558
Q92673	SORL1	-0.131262	-0.203449	0.00580531	-0.0643277	0.663596	0.0603518	0.96624	0.497901
O95848	NUDT14	0.0778057	0.0395109	-0.261468	0.291041	0.66715	0.531301	0.000474695	4.79E-05
P20701	ITGAL	-0.063848	-0.152758	0.0677036	0.0153108	0.669285	0.0106272	0.210421	0.777442
Q6NUM9	RetSat	0.0516132	-0.157128	0.136877	-0.0792109	0.67101	0.00123289	0.00135982	0.0242017
Q9NX08	COMMD8	-0.0736925	0.196837	-0.16935	0.12057	0.676615	0.003499	0.00509282	0.0208072
P12814	ACTN1	-0.0867748	-0.159684	0.185308	-0.209226	0.676694	0.039436	0.0135506	0.00319275
Q9BXL7	CARD11	0.0583239	-0.0954164	0.169313	-0.213298	0.67764	0.0486396	0.00130901	6.89E-05
Q9P265	DIP2B	0.0623021	0.12149	-0.132472	0.103124	0.681367	0.0186252	0.00760261	0.0180762
Q6ZS17	FAM65A	0.0691275	-0.0219766	0.19506	-0.211839	0.684274	0.719835	0.00103303	0.00016726
Q7L099	RUFY3	0.0808311	0.025884	0.133686	-0.166071	0.687133	0.735283	0.0428966	0.00732031
Q9BUV0	C1orf63	-0.0739268	-0.0555603	0.222047	-0.226271	0.687133	0.335254	0.000831253	0.000227745
Q93052	LPP	-0.0659364	-0.123313	0.12351	-0.142106	0.69273	0.0395079	0.0297682	0.00758798
Q9P021	CRIPT	0.0601728	0.153753	-0.0966144	0.0450494	0.69273	0.00522776	0.0364138	0.287909
P07766	CD3E	-0.113236	-0.172261	-0.12348	0.126868	0.694373	0.0825389	0.175366	0.116748
Q15554	TERF2	-0.0693173	-0.0866155	-0.0484645	0.0516915	0.697011	0.148598	0.445686	0.355136
Q7LBC6	JMJD1B	0.0382663	-0.0235763	0.105043	-0.0919647	0.697011	0.470621	0.00212751	0.00200375
Q8TB69	ZNF519	0.0647875	0.103279	-0.0203344	0.069343	0.697011	0.0998282	0.791679	0.239424
Q13586	STIM1	-0.0627526	-0.126014	-0.012182	0.0830446	0.697742	0.0253164	0.848814	0.074787
Q96LU5	IMMP1L	-0.0556408	0.185658	-0.192267	0.144245	0.699413	0.00133096	0.000505181	0.00143678
Q9H832	UBE2Z	-0.0507116	-0.05647	-0.056908	0.0801131	0.699413	0.192491	0.179868	0.0361599
Q13576	IQGAP2	0.0753541	0.141931	0.0319013	-0.0589426	0.704797	0.0436825	0.677591	0.344188
Q9NUK0	MBNL3	0.0536555	0.0634731	-0.199931	0.168941	0.704797	0.1532	0.000238932	0.00024987
P30419	NMT1	0.0592038	-0.0449548	0.156476	-0.2347	0.711996	0.382101	0.003203	4.64E-05
Q8WUH2	TGFBRAP1	0.06996	-0.0837552	-0.163163	0.237806	0.711996	0.158586	0.00467339	9.44E-05
Q9NRN9	METTL5	-0.057746	0.160878	-0.125395	0.105372	0.711996	0.00410146	0.0101728	0.0152899
Q9UHB7	AFF4	0.0444379	0.151737	-0.0646375	0.0421673	0.711996	0.00262098	0.131435	0.280142
Q03989	ARID5A	-0.0493311	-0.0793533	-0.0291816	0.0449662	0.712956	0.0462256	0.416521	0.147942
Q14683	SMC1L1	-0.0514713	-0.0514195	0.0156047	-0.0689503	0.712956	0.23928	0.751847	0.0580976
P51648	ALDH3A2	0.0767908	0.111549	-0.222735	0.150712	0.713467	0.0779444	0.00195573	0.0121043
P13232	IL7	0.0507393	0.144694	-0.171397	0.124343	0.716144	0.0125281	0.00254778	0.00648674
O95503	CBX6	-0.0588693	-0.105288	0.201284	-0.227222	0.717493	0.053047	0.000831253	0.000104843
A6NNL5	LOC145853	0.0492469	0.0870531	-0.172347	0.204045	0.721215	0.0464531	0.000558772	3.56E-05
Q8N999	C12orf29	-0.0378961	0.109486	-0.0472043	-0.00822879	0.721215	0.00596367	0.185531	0.817433
Q16670	ZNF187	0.0462135	0.0339208	0.107178	-0.134709	0.721989	0.41403	0.00875217	0.000799511
Q9Y473	ZNF175	0.0446108	0.0544888	0.0341444	-0.0884326	0.731772	0.167531	0.389043	0.0128853
P47756	CAPZB	-0.0480994	-0.149327	0.0978538	-0.0836504	0.737272	0.00237454	0.0153852	0.0214536
Q8NG27	PJA1	0.0510647	0.134429	-0.137102	0.0993092	0.737272	0.00641942	0.00334513	0.0126869
Q4LE39	ARID4B	0.0747046	-0.0311557	-0.228293	0.279109	0.739049	0.664236	0.00272776	0.000193236
